Pays,Consommation (litres/personne/jour),Source
Canada,supérieur à 250,cieau.com
Etats-Unis,supérieur à 250,cieau.com
Japon,supérieur à 250,cieau.com
Australie,supérieur à 250,cieau.com
Suisse,supérieur à 250,cieau.com
Finlande,de 160 à 250,cieau.com
Italie,de 160 à 250,cieau.com
Espagne,de 160 à 250,cieau.com
Portugal,de 160 à 250,cieau.com
Corée du sud,de 160 à 250,cieau.com
Grèce,de 160 à 250,cieau.com
Suède,de 160 à 250,cieau.com
Danemark,de 130 à 160,cieau.com
Royaume-Uni,de 130 à 160,cieau.com
Autriche,de 130 à 160,cieau.com
France,de 130 à 160,cieau.com
Luxembourg,de 130 à 160,cieau.com
Irlande,de 130 à 160,cieau.com
Allemagne,inférieur à 130,cieau.com
Pays-Bas,inférieur à 130,cieau.com
Belgique,inférieur à 130,cieau.com
Hongrie,inférieur à 130,cieau.com
Bulgarie,inférieur à 130,cieau.com
Pologne,inférieur à 130,cieau.com
République Tchèque,inférieur à 130,cieau.com
Asie,de 50 à 100,cieau.com
Amérique Latine,de 50 à 100,cieau.com
Afrique Sub-Saharienne,de 10 à 20,cieau.com
