Produit de consommation,Eau virtuelle (litres),Source
1 feuille de papier A4,10,consoglobe.com
1 tasse de thé,30,consoglobe.com
1 orange,50,consoglobe.com
1 tasse de café,140,consoglobe.com
1 oeuf,200,consoglobe.com
1 litre de lait,1000,consoglobe.com
1 kg de sucre de canne,1500,consoglobe.com
1 tee-shirt en coton,2700,consoglobe.com
1 kg de boeuf,15500,consoglobe.com
1 kg de fromage,5000,consoglobe.com
1 kg de coton,5260,consoglobe.com
1 simple « wonton » chinois,5804,consoglobe.com
1 kg de poulet,3900,consoglobe.com
1 chandail de coton,2700,consoglobe.com
